,name,Calories,Total Fat,Carbohydrates,Protein,Saturated Fat,Total Sugars,Potassium,Dietary Fiber,Iron,Sodium,Calcium,Cholesterol,Trans Fat,Vitamin D
0,big-mac,550Cal.,30,45g(16% DV),25,11g(53% DV),9,380mg(8% DV),3g(10% DV),4.5mg(25% DV),1010mg(44% DV),120mg(10% DV),80mg(26% DV),1g,0mcg(0% DV)
1,Quarter Pounder with Cheese,520Cal.,26,42g(15% DV),30,12g(62% DV),10,420mg(8% DV),2g(9% DV),4mg(25% DV),1140mg(50% DV),190mg(15% DV),95mg(32% DV),1.5g,0mcg(0% DV)
2,Quarter Pounder with Cheese Deluxe,630Cal.,37,44g(16% DV),30,14g(71% DV),11,500mg(10% DV),3g(11% DV),4.5mg(25% DV),1210mg(53% DV),200mg(15% DV),105mg(36% DV),1.5g,0mcg(0% DV)
3,McDouble,400Cal.,20,33g(12% DV),22,9g(45% DV),7,330mg(6% DV),2g(6% DV),3.5mg(20% DV),920mg(40% DV),100mg(8% DV),70mg(23% DV),1g,0mcg(0% DV)
4,Chocolate Shake,530Cal.,15,87g(32% DV),12,9g(47% DV),74,650mg(15% DV),1g(2% DV),0.5mg(2% DV),260mg(11% DV),380mg(30% DV),60mg(20% DV),0.5g,0mcg(0% DV)
5,Vanilla Shake,490Cal.,13,79g(29% DV),11,9g(43% DV),55,520mg(10% DV),0g(1% DV),0mg(0% DV),220mg(10% DV),380mg(30% DV),55mg(18% DV),0.5g,0mcg(0% DV)
6,Strawberry Shake,500Cal.,15,80g(29% DV),12,9g(47% DV),71,570mg(10% DV),0g(0% DV),0mg(0% DV),190mg(8% DV),390mg(30% DV),60mg(20% DV),0.5g,0mcg(0% DV)
7,Vanilla Cone,200Cal.,5,32g(12% DV),5,3g(16% DV),23,240mg(6% DV),0g(1% DV),0mg(2% DV),80mg(3% DV),180mg(15% DV),20mg(6% DV),0g,0mcg(0% DV)
8,"Bacon, Egg  & Cheese Biscuit",460Cal.,26,39g(14% DV),17,13g(66% DV),3,240mg(6% DV),2g(6% DV),3mg(15% DV),1330mg(58% DV),180mg(15% DV),215mg(72% DV),0g,0mcg(6% DV)
9,Egg McMuffin,310Cal.,13,30g(11% DV),17,6g(32% DV),3,200mg(4% DV),2g(6% DV),3mg(15% DV),770mg(33% DV),170mg(15% DV),250mg(83% DV),0g,2mcg(15% DV)
10,Sausage McMuffin,400Cal.,26,29g(11% DV),14,10g(51% DV),2,190mg(4% DV),2g(7% DV),2.5mg(15% DV),760mg(33% DV),140mg(10% DV),55mg(18% DV),0.5g,0mcg(4% DV)
11,Sausage Biscuit  with Egg,530Cal.,15,38g(13% DV),17,0g(% DV),3,1140mg(48% DV),2g(8% DV),0mg(0% DV),0{}(0% DV),3.5mg(20% DV),0mg(0% DV),205mg,100mg(10% DV)